name,throw1,throw2,throw3,throw4,throw5,throw6,year
Crouser,22.64,22.69,22.90,NA,NA,NA,2024
Kovacs,21.69,NA,21.71,NA,NA,22.15,2024
Campbell,20.00,22.15,NA,NA,NA,NA,2024
Otterdahl,21.39,21.98,22.01,NA,NA,22.03,2024
Fabbri,NA,20.96,NA,21.70,NA,NA,2024
Enekwechi,20.58,21.42,21.01,NA,NA,NA,2024
Gill,NA,20.81,21.15,NA,19.23,20.47,2024
Muñoz,20.68,20.88,20.80,NA,20.29,NA,2024
Crouser,22.83,22.93,22.86,22.74,22.54,23.30,2020
Kovacs,22.19,20.95,21.95,22.65,22.29,22.60,2020
Walsh,21.09,22.17,NA,21.37,22.18,22.47,2020
Romani,21.88,21.22,20.96,NA,NA,20.70,2020
Weir,20.85,20.25,20.68,21.40,21.41,NA,2020
Blignaut,20.29,NA,21.00,20.96,20.46,NA,2020
Sinančević,20.89,NA,NA,20.44,NA,NA,2020
Amr_Hassan,20.51,20.73,NA,NA,20.63,20.73,2020
Crouser,21.15,22.22,22.26,21.93,22.52,21.74,2016
Kovacs,21.78,NA,21.52,NA,NA,21.35,2016
Walsh,20.54,21.20,NA,20.75,21.36,21.25,2016
Elemba,21.20,21.00,20.69,20.76,20.11,NA,2016
Romani,21.02,20.60,20.26,NA,20.61,NA,2016
Majewski,NA,NA,20.72,NA,NA,20.52,2016
Storl,NA,20.48,20.64,NA,20.46,20.60,2016
Richards,NA,20.64,20.34,NA,NA,NA,2016
Majewski,21.19,21.72,21.87,NA,21.72,21.89,2012
Storl,21.84,21.86,21.41,NA,NA,NA,2012
Hoffa,20.98,20.95,21.23,21.11,19.53,NA,2012
Cantwell,20.21,20.95,NA,NA,20.65,21.19,2012
Armstrong,20.16,20.93,20.74,NA,NA,20.34,2012
Lauro,19.40,20.82,20.84,20.34,20.65,NA,2012
Kolašinac,20.18,20.71,NA,20.54,20.46,NA,2012
Lyzhyn,20.69,NA,NA,19.93,20.04,NA,2012
Majewski,20.80,20.47,21.21,21.51,NA,20.44,2008
Cantwell,20.39,20.98,20.88,20.86,20.69,21.09,2008
Armstrong,20.62,21.04,NA,NA,20.47,NA,2008
Bilonog,20.63,NA,20.53,20.46,20.31,NA,2008
Hoffa,NA,19.81,20.53,20.38,NA,NA,2008
Sofin,20.42,NA,NA,NA,NA,NA,2008
Nelson,21.16,NA,NA,NA,NA,NA,2004
Olsen,20.47,20.48,21.07,20.78,NA,NA,2004
Martínez_Gutiérrez,20.70,20.21,20.48,20.78,20.84,NA,2004
Mikhnevich,19.41,20.51,NA,NA,20.60,NA,2004
Bialou,20.34,20.33,NA,NA,NA,19.88,2004
Anlezark,20.07,NA,20.31,NA,NA,NA,2004
Bartels,20.26,NA,NA,20.07,NA,20.00,2004
Harju,21.20,21.29,20.77,NA,20.37,NA,2000
Nelson,20.53,21.20,21.21,NA,20.97,NA,2000
Godina,NA,20.40,20.25,20.71,21.20,NA,2000
Bloom,20.87,NA,20.11,NA,19.92,20.16,2000
Bilonoh,20.57,20.84,NA,20.43,20.22,NA,2000
Gutiérrez,19.89,19.45,NA,19.50,20.55,19.70,2000
Robberts,18.81,19.72,NA,18.87,19.06,20.32,2000
Buder,19.89,20.18,NA,19.64,NA,NA,2000
Barnes,19.46,20.44,NA,20.26,20.32,21.62,1996
Godina,NA,19.91,19.98,20.64,20.79,NA,1996
Bagach,20.41,20.50,20.29,NA,NA,20.75,1996
Dal_Soglio,20.12,20.65,19.92,20.74,20.60,NA,1996
Buder,20.16,19.92,20.37,20.13,20.51,19.71,1996
Virastyuk,19.46,19.86,20.32,20.21,20.45,NA,1996
Hunter,19.99,20.09,20.39,NA,20.25,20.35,1996
Perić,19.66,19.75,19.98,NA,NA,20.07,1996
Stulce,21.49,21.58,NA,21.11,21.70,NA,1992
Doehring,19.89,20.96,NA,20.17,NA,20.03,1992
Lykho,20.93,20.94,20.79,NA,19.99,20.35,1992
Günthör,19.74,20.01,20.27,20.85,NA,20.91,1992
Timmermann,20.12,20.03,19.83,20.49,20.10,20.38,1992
Bodenmüller,20.13,20.19,20.48,20.39,19.81,19.92,1992
Perić,NA,19.90,19.59,20.07,NA,20.32,1992
Klimenko,NA,20.23,NA,NA,NA,20.14,1992
Timmermann,22.02,21.31,22.16,21.90,22.29,22.47,1988
Barnes,20.17,20.72,NA,21.31,21.01,22.39,1988
Günthör,21.45,21.59,21.70,20.98,21.99,21.61,1988
Beyer,NA,21.40,20.84,20.82,21.30,21.31,1988
Machura,20.57,20.03,20.16,20.36,20.12,20.29,1988
Weil,20.22,20.09,NA,20.23,20.21,20.38,1988
Andrei,19.71,20.17,20.06,19.93,20.36,20.26,1988
Smirnov,20.11,NA,20.36,NA,NA,NA,1988
Andrei,20.41,20.97,21.26,20.55,20.92,20.96,1984
Carter,20.63,20.69,21.09,20.42,NA,20.38,1984
Laut,20.97,18.39,NA,20.03,20.31,20.97,1984
Wolf,20.04,19.91,19.41,20.08,19.74,20.93,1984
Günthör,20.28,NA,NA,19.38,NA,20.11,1984
Montelatici,19.88,19.26,19.98,19.35,19.85,NA,1984
Tallhem,19.81,NA,19.54,NA,NA,NA,1984
de_Bruin,19.65,NA,NA,NA,NA,NA,1984
